Date,Open,High,Low,Close,Volume
2020-08-24,17186.44194037706,17220.175384101585,16879.540294671613,17151.8849029541,5699000
2020-08-25,17543.533618736412,17965.62541411515,17344.418531075255,17776.383407592773,27096500
2020-08-26,20731.02245855766,22871.09931956728,20526.147246519195,22406.223358154297,63253400
2020-08-27,21968.499733169996,22896.60703718925,21461.66063651316,22735.340850830078,22817100
2020-08-28,22320.65688343671,22688.4442764064,22001.413820604885,22305.847259521484,28068000
2020-08-31,22215.337754548676,22602.871276754595,21878.816828396426,22433.376678466797,16010100
2020-09-01,22297.614028320313,23196.923098493517,22263.05573570654,23140.97396850586,13293600
2020-09-02,23323.633599891964,23408.38088896384,22097.676719849285,22765.781951904297,12963800
2020-09-03,22263.062069766922,22359.329653685785,21179.448493238524,21804.76971435547,14000600
2020-09-04,21637.73931434878,21859.07009672956,20010.25901352655,20956.46781921387,14374300
2020-09-08,19793.865596583804,20872.542406333752,19758.484963075,19851.460662841793,15229600
2020-09-09,20273.55064940465,20853.618009342634,19990.51186650033,20605.135009765625,9988600
2020-09-10,20965.518582159933,21105.393931863262,20320.451314466423,20388.743057250977,5945000
2020-09-11,20628.996901387705,20676.71888574225,19701.711953703907,20002.031143188477,5455200
2020-09-14,20266.145136129966,20476.779225630362,20079.371409925916,20293.29736328125,4255200
2020-09-15,20682.478245808798,20729.377892990677,20447.160182572894,20707.984542846683,4133600
2020-09-16,20953.998240180346,21016.529844504712,20588.6791840978,20619.123275756836,5441200
2020-09-17,20250.5142424188,20472.6686253943,19854.75231328369,20119.690887451176,5279500
2020-09-18,20169.058518858208,20414.249670563266,19640.827310188663,19975.70230102539,6595600
2020-09-21,19662.218480697742,20169.057570238656,19483.67314913911,20162.47509765625,5561600
2020-09-22,20301.525739494224,20452.096495955957,19850.635808332518,20387.09536743164,3600800
2020-09-23,20445.514293152213,20468.5523184958,19364.368012037663,19417.026535034183,7507900
2020-09-24,19404.68527758618,19743.675719952345,19222.84933237821,19545.38296508789,4166800
2020-09-25,19532.21744060652,20071.967636713085,19339.684825924283,19972.410720825195,5117800
2020-09-28,20368.99528051022,20452.920237759987,19928.80324891507,20295.766998291016,4088300
2020-09-29,20179.75205834071,20396.968621622458,20117.220454911097,20359.943313598636,3983700
2020-09-30,20294.119988333347,21014.88501440984,20258.740612001104,20678.3641204834,8188500
2020-10-01,20831.403863351003,20954.00006796682,20636.402967274964,20853.619552612305,4318000
2020-10-02,20549.186225912694,20977.036899240444,20340.198057547084,20392.8565826416,4494500
2020-10-05,20569.757153334664,20839.632266748144,20487.47812472133,20695.643966674805,3403500
2020-10-06,20794.376902038995,21169.570297384962,20487.476501165882,20581.274536132812,4448100
2020-10-07,20750.772430942456,21453.434839295645,20750.772430942456,21390.90447998047,4963200
2020-10-08,21738.117760915917,21772.673542659766,21152.289038137544,21410.646362304688,4150400
2020-10-09,21631.154853650318,21890.33327641489,21515.964722527897,21884.575653076172,4225000
2020-10-12,22215.33707599399,22215.33707599399,21827.803565625065,21974.260131835938,4317000
2020-10-13,21920.778460772188,22115.77934395873,21740.587199128706,21954.510650634766,3713200
2020-10-14,22215.338372391863,22228.503318668092,21289.699273542203,21543.117584228516,5129500
2020-10-15,21237.039879046668,21435.332648739994,20900.52019282407,21204.952362060543,5256800
2020-10-16,21330.016204196436,21599.891338233025,21268.30692802078,21273.243469238278,3092300
2020-10-19,21372.801359095774,21514.32138929849,20940.01286340299,20981.974716186523,3242300
2020-10-20,21073.30386093632,21325.077481096137,20902.986928966333,21060.962509155273,2989300
2020-10-21,21100.45793420059,21253.49572246628,20721.973899635836,20917.797134399414,2794000
2020-10-22,20889.821434387046,20999.252687390046,20251.33665763598,20542.60385131836,3685700
2020-10-23,20577.98434251757,20616.65558411918,20307.2856513063,20612.541381835938,3159600
2020-10-26,20183.046547825088,20414.250423971826,19531.396773206925,19909.879562377933,5864100
2020-10-27,20405.198842380367,20713.745195843785,20221.716962388055,20594.440856933594,4285600
2020-10-28,20125.451592955138,20195.38801639398,19583.231821587426,19617.78886413574,4425400
2020-10-29,19954.309302855392,19954.309302855392,19510.825412584574,19511.64775085449,4589000
2020-10-30,19403.040903012323,19561.838823746897,18813.922763724753,19110.950103759766,5741200
2020-11-02,19345.442612819203,19623.546099759595,18841.073078319947,19125.757781982426,3953400
2020-11-03,19343.798227954183,19824.307406513737,19194.04980796654,19510.82453918457,4151400
2020-11-04,20242.28731755499,20806.72151372529,20013.551714532005,20630.644439697266,6505400
2020-11-05,21237.036327022637,21468.242679819617,21017.352753067586,21410.646362304688,8961700
2020-11-06,21392.547594343192,21536.53589545896,20939.19059537374,21404.888946533203,3798600
2020-11-09,21470.71461524264,22291.03667276186,21166.281189475816,21333.307525634766,8777500
2020-11-10,21232.925817397787,21310.268304785895,19985.57544851328,20377.224426269528,6863200
2020-11-11,20858.555545459665,21124.3164493859,20669.31478898833,20913.682342529293,4163400
2020-11-12,20355.830970239,20978.683813152744,20270.261333759703,20522.03495788574,5607000
2020-11-13,20803.429380565947,20881.594206980906,20368.99620810305,20529.440063476562,5160000
2020-11-16,20530.262805002374,20856.91063684601,20420.00795661136,20560.705642700195,5712600
2020-11-17,20877.479203671403,21250.201812227206,20607.60411570589,21077.417877197266,5090700
2020-11-18,21096.339914433705,21611.407375537532,21051.087458484184,21158.872772216793,5880500
2020-11-19,21132.542761003482,21975.902698664133,21035.454122029147,21775.141693115234,8084600
2020-11-20,21687.92751401745,21805.58591505238,21213.178452126725,21231.27993774414,7286100
2020-11-23,21493.749315904475,21535.70990868799,20949.061349339347,21198.367935180664,5383600
2020-11-24,21392.54860273037,21582.61296828577,21213.180913229415,21461.662689208984,5797300
2020-11-25,21699.44875946205,21894.449652281375,20162.475877662993,20308.110107421875,26394900
2020-11-27,20652.034695982667,20721.14877373014,20325.38687545257,20374.754791259766,7395000
2020-11-30,20197.853155824127,20374.75379928873,19423.608544140072,20224.183044433594,18966400
2020-12-01,20158.36177193893,20298.235867832223,19640.00364670769,19858.043823242188,18872000
